"DateTime","IAQ Index
室內空氣指數","PM1超細懸浮微粒","PM2.5細懸浮微粒","PM10懸浮顆粒","CO2二氧化碳","CH2O甲醛","TVOC揮發物質","TEMP溫度","HUMD濕度","Fungi黴菌指數"
,"","μg/m³","μg/m³","μg/m³","ppm","ppm","ppm","℃","%",""
"2022/06/23 00:00","37.00","4.00","5.00","7.00","511.00","0.046","0.231","30.30","66.73","371.77"
"2022/06/23 00:01","36.00","5.00","5.00","6.00","512.00","0.048","0.229","30.30","66.64","371.24"
"2022/06/23 00:02","36.00","5.00","5.00","6.00","513.00","0.050","0.227","30.33","67.26","370.40"
"2022/06/23 00:03","38.00","5.00","5.00","6.00","512.00","0.046","0.238","30.32","66.90","369.76"
"2022/06/23 00:04","39.00","5.00","5.00","6.00","512.00","0.047","0.249","30.30","66.70","369.12"
"2022/06/23 00:05","38.00","5.00","5.00","6.00","510.00","0.056","0.238","30.30","67.31","368.45"
"2022/06/23 00:06","37.00","4.00","5.00","7.00","509.00","0.049","0.233","30.34","67.03","368.18"
"2022/06/23 00:07","35.00","4.00","5.00","6.00","507.00","0.046","0.219","30.32","67.19","368.31"
"2022/06/23 00:08","35.00","5.00","5.00","6.00","506.00","0.046","0.222","30.32","67.17","367.55"
"2022/06/23 00:09","35.00","4.00","5.00","6.00","506.00","0.045","0.224","30.29","67.08","366.95"
"2022/06/23 00:10","35.00","5.00","5.00","6.00","503.00","0.045","0.220","30.33","67.13","366.26"
"2022/06/23 00:11","35.00","5.00","5.00","6.00","500.00","0.050","0.219","30.30","67.34","365.51"
"2022/06/23 00:12","34.00","4.00","5.00","6.00","497.00","0.046","0.213","30.32","67.57","364.67"
"2022/06/23 00:13","34.00","4.00","5.00","7.00","495.00","0.046","0.213","30.30","67.43","364.88"
"2022/06/23 00:14","31.00","4.00","5.00","6.00","493.00","0.047","0.199","30.32","68.12","363.90"
"2022/06/23 00:15","32.00","5.00","5.00","7.00","493.00","0.046","0.203","30.32","67.83","363.63"
"2022/06/23 00:16","32.00","5.00","5.00","7.00","491.00","0.045","0.201","30.30","68.01","364.03"
"2022/06/23 00:17","32.00","6.00","5.00","7.00","485.00","0.045","0.200","30.32","68.11","363.86"
"2022/06/23 00:18","32.00","5.00","5.00","7.00","486.00","0.046","0.203","30.32","68.02","363.68"
"2022/06/23 00:19","31.00","6.00","5.00","7.00","487.00","0.046","0.198","30.29","68.15","363.55"
"2022/06/23 00:20","30.00","6.00","5.00","7.00","488.00","0.045","0.192","30.32","68.41","364.24"
"2022/06/23 00:21","30.00","5.00","5.00","7.00","486.00","0.047","0.187","30.33","68.69","364.00"
"2022/06/23 00:22","30.00","5.00","5.00","7.00","485.00","0.043","0.183","30.32","68.97","363.75"
"2022/06/23 00:23","30.00","6.00","5.00","8.00","485.00","0.040","0.180","30.32","68.52","363.59"
"2022/06/23 00:24","32.00","6.00","5.00","7.00","486.00","0.038","0.205","30.32","68.19","363.55"
"2022/06/23 00:25","34.00","4.00","5.00","7.00","491.00","0.043","0.217","30.30","68.02","363.54"
"2022/06/23 00:26","34.00","5.00","5.00","7.00","494.00","0.045","0.214","30.32","67.89","363.68"
"2022/06/23 00:27","32.00","4.00","5.00","7.00","490.00","0.046","0.202","30.33","68.35","363.70"
"2022/06/23 00:28","32.00","4.00","5.00","7.00","490.00","0.047","0.201","30.32","68.43","363.67"
"2022/06/23 00:29","30.00","5.00","5.00","7.00","488.00","0.043","0.192","30.33","68.48","363.59"
